ID,Publication Type,Article Title,Source Title,Conference Title,Abstract
61,J,Potential of Large Language Models in Health Care: Delphi Study,JOURNAL OF MEDICAL INTERNET RESEARCH,,"Background: A large language model (LLM) is a machine learning model inferred from text data that captures subtle patterns of language use in context. Modern LLMs are based on neural network architectures that incorporate transformer methods. They allow the model to relate words together through attention to multiple words in a text sequence. LLMs have been shown to be highly effective for a range of tasks in natural language processing (NLP), including classification and information extraction tasks and generative applications. Objective: The aim of this adapted Delphi study was to collect researchers' opinions on how LLMs might influence health care and on the strengths, weaknesses, opportunities, and threats of LLM use in health care. Methods: We invited researchers in the fields of health informatics, nursing informatics, and medical NLP to share their opinions on LLM use in health care. We started the first round with open questions based on our strengths, weaknesses, opportunities, and threats framework. In the second and third round, the participants scored these items. Results: The first, second, and third rounds had 28, 23, and 21 participants, respectively. Almost all participants (26/28, 93% in round 1 and 20/21, 95% in round 3) were affiliated with academic institutions. Agreement was reached on 103 items related to use cases, benefits, risks, reliability, adoption aspects, and the future of LLMs in health care. Participants offered several use cases, including supporting clinical tasks, documentation tasks, and medical research and education, and agreed that LLM-based systems will act as health assistants for patient education. The agreed-upon benefits included increased efficiency in data handling and extraction, improved automation of processes, improved quality of health care services and overall health outcomes, provision of personalized care, accelerated diagnosis and treatment processes, and improved interaction between patients and health care professionals. In total, 5 risks to health care in general were identified: cybersecurity breaches, the potential for patient misinformation, ethical concerns, the likelihood of biased decision-making, and the risk associated with inaccurate communication. Overconfidence in LLM-based systems was recognized as a risk to the medical profession. The 6 agreed-upon privacy risks included the use of unregulated cloud services that compromise data security, exposure of sensitive patient data, breaches of confidentiality, fraudulent use of information, vulnerabilities in data storage and communication, and inappropriate access or use of patient data. Conclusions: Future research related to LLMs should not only focus on testing their possibilities for NLP-related tasks but also consider the workflows the models could contribute to and the requirements regarding quality, integration, and regulations needed for successful implementation in practice."
62,J,Large Language Model-Enhanced Drug Repositioning Knowledge Extraction via Long Chain-of-Thought: Development and Evaluation Study,JMIR MEDICAL INFORMATICS,,"Background: Drug repositioning is a pivotal strategy in pharmaceutical research, offering accelerated and cost-effective therapeutic discovery. However, biomedical information relevant to drug repositioning is often complex, dispersed, and underutilized due to limitations in traditional extraction methods, such as reliance on annotated data and poor generalizability. Large language models (LLMs) show promise but face challenges such as hallucinations and interpretability issues. Objective: This study proposed long chain-of-thought for drug repositioning knowledge extraction (LCoDR-KE), a lightweight and domain-specific framework to enhance LLMs' accuracy and adaptability in extracting structured biomedical knowledge for drug repositioning. Methods: A domain-specific schema defined 11 entities (eg, drug, disease) and 18 relationships (eg, treats, is biomarker of). Following the established schema architecture, we constructed automatic annotation based on 10,000 PubMed abstracts via chain-of-thought prompt engineering. A total of 1000 expert-validated abstracts were curated into a drug repositioning corpus, a high-quality specialized corpus, while the remaining entries were allocated for model training purposes. Then, the proposed LCoDR-KE framework combined supervised fine-tuning of the Qwen2.5-7B-Instruct model with reinforcement learning and dual-reward mechanisms. Performance was evaluated against state-of-the-art models (eg, conditional random fields, Bidirectional Encoder Representations From Transformers, BioBERT, Qwen2.5, DeepSeek-R1, OpenBioLLM-70B, and model variants) using precision, recall, and F1-score. In addition, the convergence of the training method was assessed by analyzing performance progression across iteration steps. Results: LCoDR-KE achieved an entity F1 of 81.46% (eg, drug 95.83%, disease 90.52%) and triplet F1 of 69.04%, outperforming traditional models and rivaling larger LLMs (DeepSeek-R1: entity F1=84.64%, triplet F1=69.02%). Ablation studies confirmed the contributions of supervised fine-tuning (8.61% and 20.70% F1 drop if removed) and reinforcement learning (6.09% and 14.09% F1 drop if removed). The training process demonstrated stable convergence, validated through iterative performance monitoring. Qualitative analysis of the model's chain-of-thought outputs showed that LCoDR-KE performed structured and schema-aware reasoning by validating entity types, rejecting incompatible relations, enforcing constraints, and generating compliant JSON. Error analysis revealed 4 main types of mistakes and challenges for further improvement. Conclusions: LCoDR-KE enhances LLMs' domain-specific adaptability for drug repositioning by offering an open-source drug repositioning corpus and a long chain-of-thought framework based on a lightweight LLM model. This framework supports drug discovery and knowledge reasoning while providing scalable, interpretable solutions applicable to broader biomedical knowledge extraction tasks."
63,J,Intelligent Support for Radiotherapy: A Review of Clinical Applications for Large Language Models,JOURNAL OF CLINICAL MEDICINE,,"Background: Radiotherapy (RT) is a core modality for cancer treatment, yet it is plagued by inter-observer variability in target delineation, inefficient manual workflows, and challenges in fusing multi-type clinical data. Large language models (LLMs), with their superior semantic understanding and cross-modal fusion capabilities present novel solutions to these challenges. Scope: This narrative review provided a comprehensive overview of the current landscape and emerging trends of LLM applications across the entire RT workflow. Findings: LLMs demonstrated substantial clinical utility in key RT domains, including automated target volume delineation (e.g., Medformer, Radformer), dose prediction (e.g., DoseGNN), treatment planning automation (e.g., GPT-Plan), patient education, clinical decision support, medical information extraction, and prognosis assessment. These applications not only have the potential to enhance the accuracy and efficiency of RT but also facilitate the standardization of clinical pathways. However, widespread clinical adoption was impeded by critical limitations, including model hallucinations, insufficient generalizability, and unresolved issues regarding data privacy and ethical governance. Conclusions: LLMs possessed transformative potential to revolutionize radiation oncology. Future endeavors should prioritize technical refinements to mitigate model deficiencies, establish standardized evaluation benchmarks, and develop robust ethical frameworks. These concerted efforts are crucial for translating LLM research into clinical practice and advancing the era of intelligent, precision RT."
64,J,MS-LIP: Multiscale Semantic Information Integration With Large Language Models for Marine Prediction,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,"Marine environmental forecasting presents a significant challenge in geoscience and remote sensing applications, particularly when modeling the complex multiscale dynamics evident in satellite-derived sea surface temperature (SST) data. While recent deep learning approaches have shown promise in processing remote sensing data, they often fail to effectively capture the rich semantic information inherent in multiscale oceanic phenomena, resulting in suboptimal prediction performance. To address this limitation, we propose MS-LIP, a novel neural network framework that leverages large language models (LLMs) to integrate multiscale semantic information from satellite data for enhanced marine element prediction, with a primary focus on SST forecasting. Our key innovation, the multiscale semantic information extraction (MSIE) module, employs cross-modal attention mechanisms to dynamically align LLM-derived semantic representations with remotely sensed spatiotemporal features at multiple scales, enabling comprehensive capture of thermal patterns from localized anomalies to basin-wide circulations. In addition, we introduce the amplitude-phase decoupling interaction (APDI) module, which performs frequency-domain analysis specifically designed for satellite-derived SST data, extracting deeper insights from thermal patterns that conventional methods typically overlook. These components are integrated into our domain-specific fine-tuning for a pretrained large language model (DFPM) framework, which incorporates an efficient low-rank adaptation with mixture of experts (LoRA-MoEs) strategy tailored to marine remote sensing applications. Experimental validation using satellite-derived National Oceanic and Atmospheric Administration (NOAA) optimum interpolation SST (OISST) data demonstrates state-of-the-art SST prediction performance, with error reductions of 7.12%, 5.88%, and 2.40% for temperature ranges around 15 degrees C, 20 degrees C, and 25 degrees C, respectively. Further experiments on ERA5 reanalysis data for significant wave height (SWH) prediction demonstrate the framework's generalizability to other marine elements, highlighting its versatility and potential for broad application in marine environmental forecasting."
65,J,Automation and machine learning augmented by large language models in a catalysis study,CHEMICAL SCIENCE,,"Recent advancements in artificial intelligence and automation are transforming catalyst discovery and design from traditional trial-and-error manual mode into intelligent, high-throughput digital methodologies. This transformation is driven by four key components, including high-throughput information extraction, automated robotic experimentation, real-time feedback for iterative optimization, and interpretable machine learning for generating new knowledge. These innovations have given rise to the development of self-driving labs and significantly accelerated materials research. Over the past two years, the emergence of large language models (LLMs) has added a new dimension to this field, providing unprecedented flexibility in information integration, decision-making, and interacting with human researchers. This review explores how LLMs are reshaping catalyst design, heralding a revolutionary change in the fields. AI and automation are revolutionizing catalyst discovery, shifting from manual methods to high-throughput digital approaches, enhanced by large language models."
66,J,Large language model-enhanced home energy management with dynamic user preference elicitation and hierarchical data-sharing,APPLIED ENERGY,,"The residential sector has received great attention worldwide due to its significant contribution to energy con sumption and carbon emissions. Although Deep Reinforcement Learning (DRL) based Home Energy Management (HEM) has provided promising solutions for user comfort satisfaction and energy savings, existing approaches still face three challenges: (1) accurately perceiving dynamic user preferences, (2) efficient learning with limited data samples, and (3) protecting user privacy during data sharing. To address these issues, a Large Language Model (LLM)-enhanced HEM with dynamic user preference elicitation and hierarchical data-sharing is proposed, introducing three key innovations. First, the Knowledge-Guided Chain-of-Thought method is proposed to per ceive dynamic user preferences from unconstrained natural language interactions, by leveraging users' historical knowledge as explicit guidance. Second, the LLM-generated reference actions based on shared knowledge and preference descriptions are proposed to accelerate the learning process under conditions of cold-start situations. Third, a hierarchical data-sharing mechanism integrated with LLM-based knowledge extraction is introduced to enable effective knowledge inference from natural language while preserving user privacy. Simulation results in the household scenario with dynamic user preferences demonstrate that the proposed framework achieves sig nificant improvements in both user preference elicitation and learning efficiency, ultimately leading to a 28.8% reduction in cost and a 9.3% improvement in comfort compared to fixed preference DRL methods."
67,C,"A Systematic Review of Integrating Knowledge Graphs with Large Language Models: Applications, Models, Evaluation Methods, and Opportunities","TWO DECADES OF TEL. FROM LESSONS LEARNT TO CHALLENGES AHEAD, EC-TEL 2025, PT II",20th European Conference on Technology Enhanced Learning-ECTEL-Annual,"Generative Artificial Intelligence (GenAI), particularly large language models (LLMs) like ChatGPT, has the potential to scale personalized feedback and reduce the workload of teaching and instruction. However, GenAI faces challenges in educational applications, such as generating outputs with hallucinations, lacking explainability in reasoning, and producing lengthy responses. Additionally, GenAI often fails to meet education-related standards, such as curriculum requirements and learner-related data, making it less context-sensitive in authentic courses. Knowledge Graphs (KGs), characterized by their structured representation of entities, relations, and attributes, can provide consistent answers and hierarchical reasoning about information clusters. The integration of KGs with LLMs shows promise in linking graduate requirements and knowledge points, supporting interdisciplinary knowledge theme design in STEAM projects. Despite these potentials, there is a lack of comprehensive reviews on how KGs combined with LLMs can enrich learning experiences and empower educators in the dynamic landscape of modern education. Following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework, this systematic review examines selected studies to highlight specific KG functionalities, the role of LLMs in knowledge extraction, data resources, LLMs used, and evaluation methods. The review contributes to three key areas: applications of KGs combined with LLMs in education, a data workflow from the data source to evaluation in the application context, and opportunities for KGs combined with LLMs to support lifelong learning and reduce educational inequality utilizing open resources."
68,C,Toward fine-tuning large language models in Ontology of Microbial Phenotypes construction,"2024 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE, BIBM",2024 International Conference on Bioinformatics and Biomedicine,"Ontologies are crucial for organizing domainspecific knowledge in biomedical fields, but their manual construction is time-consuming. This study explores the automation of ontology learning using large language models (LLMs) like BERT, RoBERTa, and DistilBERT, focusing on the Ontology of Microbial Phenotypes (OMP). We investigate three key tasks: (1) entity extraction, (2) relation extraction between entities, and (3) ontology verification. These tasks align with broader applications in biomedical annotation and named entity recognition (NER) by enabling the identification and structuring of key terms and relationships within microbial phenotypes. We evaluate LLMs in two scenarios: baseline performance using pre-trained models and fine-tuned performance after training on OMP-specific data. Our approach integrates spaCy for entity extraction, Llama 2 for relation identification, and LLMs for ontology verification. Experiments reveal that fine-tuned models significantly improve accuracy, precision, recall, and F1 scores, particularly for ontology verification. This research highlights the potential of LLMs to enhance ontology learning and support related biomedical applications like biofilm analysis, annotation, and NER, while emphasizing the value of expert curation."
69,J,Large language models in healthcare and biomedical informatics: A comprehensive review,INNOVATION AND EMERGING TECHNOLOGIES,,"Large language models (LLMs) are rapidly advancing natural language processing and driving increasing interest across biomedical research, clinical care, and healthcare operations. This systematic review synthesizes current empirical evidence on LLM applications in healthcare and biomedical informatics, focusing on their capabilities, evaluation practices, and reported outcomes. Existing studies highlight promising uses in research, where LLMs assist literature-informed genomic interpretation, functional annotation, and biological hypothesis generation, as well as support tasks related to protein and multiomics analysis. In clinical contexts, LLMs are primarily evaluated for natural language-driven tasks, including electronic health record summarization, clinical documentation support, medical question answering, and information extraction, rather than autonomous diagnostic or therapeutic decision-making. Early investigations also describe potential value in healthcare operations, patient communication, clinician education, and drug discovery workflows largely through knowledge retrieval, text generation, and semantic search. However, current evidence remains preliminary: most studies are retrospective, benchmark-based, simulation-driven, or limited to controlled research settings. Key challenges include hallucination and unreliable reasoning, bias and inequitable performance across populations, data privacy and security constraints, reproducibility limitations, and lack of prospective clinical validation and regulatory guidance. Emerging strategies, such as domain-specific pretraining, retrieval augmentation, multi-modal architectures, and privacy-preserving learning, aim to improve reliability, safety, and real-world applicability. This review concludes by outlining methodological, infrastructural, and governance requirements needed to responsibly integrate LLMs into biomedical workflows, emphasizing that clinical deployment remains exploratory and must be rigorously evaluated."
70,C,Combining Rule-Based and Machine Learning Methods for Efficient Information Extraction from Enforcement Decisions,"LEGAL KNOWLEDGE AND INFORMATION SYSTEMS, JURIX 2024",37th International Conference on Legal Knowledge and Information Systems-JURIX,"This paper presents an effective and efficient approach for automatic extraction of key features from enforcement decisions, such as their legal basis and their legal effect, by strategically applying a Large Language Model (LLM) on top of rule-based methods. Initially, rule-based methods identify candidate sentences within these decisions containing these features, after which these sentences are analyzed by GPT-3.5 to extract the features. This approach is efficient as it reduces the input and number of resources needed for effective and context aware information extraction. Furthermore, other features that have not been subject to a rule-based selection first can be extracted by an LLM from the same set of candidate sentences when they exist in close proximity of each other."
71,J,A Large Language Model Driven Knowledge Graph Construction Scheme for Semantic Communication,APPLIED SCIENCES-BASEL,,"This study presents a knowledge graph construction scheme leveraging large language models (LLMs) for task-oriented semantic communication systems. The proposed methodology systematically addresses four critical stages: corpus collection, entity extraction and relationship analysis, knowledge base generation, and dynamic updating mechanisms. It is worth noting that prompt engineering is combined with few-shot learning to enhance reliability and accuracy in this methodology. Experimental demonstration showed that this methodology had superior entity extraction performance, achieving 89.7% precision and 92.3% recall rate. This scheme overcomes the demand for domain knowledge and the labor cost of traditional knowledge base construction schemes. It greatly improves the construction efficiency of knowledge graphs. This paper provides an efficient and reliable task knowledge base construction scheme for task-oriented semantic communication, which is expected to promote its wider application."
72,J,Future-proofing geotechnics workflows: accelerating problem-solving with large language models,GEORISK-ASSESSMENT AND MANAGEMENT OF RISK FOR ENGINEERED SYSTEMS AND GEOHAZARDS,,"The integration of Large Language Models (LLMs), such as ChatGPT, into the workflows of geotechnical engineering has a high potential to transform how the discipline approaches problem-solving and decision-making. This paper investigates the practical uses of LLMs in addressing geotechnical challenges based on opinions from a diverse group, including students, researchers, and professionals from academia, industry, and government sectors gathered from a workshop dedicated to this study. After introducing the key concepts of LLMs, we present preliminary LLM solutions for four distinct practical geotechnical problems as illustrative examples. In addition to the basic text generation ability, each problem is designed to cover different extended functionalities of LLMs that cannot be achieved by conventional machine learning tools, including multimodal modelling under a unified framework, programming ability, knowledge extraction, and text embedding. We also address the potentials and challenges in implementing LLMs, particularly in achieving high precision and accuracy in specialised tasks, and underscore the need for expert oversight. The findings demonstrate the effectiveness of LLMs in enhancing efficiency, data processing, and decision-making in geotechnical engineering, suggesting a paradigm shift towards more integrated, data-driven approaches in this field."
73,C,Exploring Offline Large Language Models for Clinical Information Extraction: A Study of Renal Histopathological Reports of Lupus Nephritis Patients,"DIGITAL HEALTH AND INFORMATICS INNOVATIONS FOR SUSTAINABLE HEALTH CARE SYSTEMS, MIE 2024",34th Medical Informatics Europe Conference-MIE,"Open source, lightweight and offline generative large language models (LLMs) hold promise for clinical information extraction due to their suitability to operate in secured environments using commodity hardware without token cost. By creating a simple lupus nephritis (LN) renal histopathology annotation schema and generating gold standard data, this study investigates prompt-based strategies using three state-of-the-art lightweight LLMs, namely BioMistral-DARE-7B (BioMistral), Llama-2-13B (Llama 2), and Mistral-7B-instruct-v0.2 (Mistral). We examine the performance of these LLMs within a zero-shot learning environment for renal histopathology report information extraction. Incorporating four prompting strategies, including combinations of batch prompt (BP), single task prompt (SP), chain of thought (CoT) and standard simple prompt (SSP), our findings indicate that both Mistral and BioMistral consistently demonstrated higher performance compared to Llama 2. Mistral recorded the highest performance, achieving an F1-score of 0.996 [95% CI: 0.993, 0.999] for extracting the numbers of various subtypes of glomeruli across all BP settings and 0.898 [95% CI: 0.871, 0.921] in extracting relational values of immune markers under the BP+SSP setting. This study underscores the capability of offline LLMs to provide accurate and secure clinical information extraction, which can serve as a promising alternative to their heavyweight online counterparts."
74,C,Cuckoo: An IE Free Rider Hatched by Massive Nutrition in LLM's Nest,"PROCEEDINGS OF THE 63RD ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",63rd Association for Computational Linguistics Meeting-ACL-Annual,"Massive high-quality data, both pre-training raw texts and post-training annotations, have been carefully prepared to incubate advanced large language models (LLMs). In contrast, for information extraction (IE), pre-training data, such as BIO-tagged sequences, are hard to scale up. We show that IE models can act as free riders on LLM resources by reframing next-token prediction into extraction for tokens already present in the context. Specifically, our proposed next tokens extraction (NTE) paradigm learns a versatile IE model, Cuckoo1, with 102.6M extractive data converted from LLM's pre-training and post-training data. Under the few-shot setting, Cuckoo adapts effectively to traditional and complex instruction-following IE with better performance than existing pre-trained IE models. As a free rider, Cuckoo can naturally evolve with the ongoing advancements in LLM data preparation, benefiting from improvements in LLM training pipelines without additional manual effort.(2)"
75,J,Clinical applications of large language models in knee osteoarthritis: a systematic review,FRONTIERS IN MEDICINE,,"Background and aims Knee osteoarthritis (KOA) is a common chronic degenerative disease that significantly impacts patients' quality of life. With the rapid advancement of artificial intelligence, large language models (LLMs) have demonstrated potential in supporting medical information extraction, clinical decision-making, and patient education through their natural language processing capabilities. However, the current landscape of LLM applications in the KOA domain, along with their methodological quality, has yet to be systematically reviewed. Therefore, this systematic review aims to comprehensively summarize existing clinical studies on LLMs in KOA, evaluate their performance and methodological rigor, and identify current challenges and future research directions. Methods Following the PRISMA guidelines, a systematic search was conducted in PubMed, Cochrane Library, Embase databases and Web of science for literature published up to June 2025. The protocol was preregistered on the OSF platform. Studies were screened using standardized inclusion and exclusion criteria. Key study characteristics and performance evaluation metrics were extracted. Methodological quality was assessed using tools such as Cochrane RoB, STROBE, STARD, and DISCERN. Additionally, the CLEAR-LLM and CliMA-10 frameworks were applied to provide complementary evaluations of quality and performance. Results A total of 16 studies were included, covering various LLMs such as ChatGPT, Gemini, and Claude. Application scenarios encompassed text generation, imaging diagnostics, and patient education. Most studies were observational in nature, and overall methodological quality ranged from moderate to high. Based on CliMA-10 scores, LLMs exhibited upper-moderate performance in KOA-related tasks. The ChatGPT-4 series consistently outperformed other models, especially in structured output generation, interpretation of clinical terminology, and content accuracy. Key limitations included insufficient sample representativeness, inconsistent control over hallucinated content, and the lack of standardized evaluation tools. Conclusion Large language models show notable potential in the KOA field, but their clinical application is still exploratory and limited by issues such as sample bias and methodological heterogeneity. Model performance varies across tasks, underscoring the need for improved prompt design and standardized evaluation frameworks. With real-world data and ethical oversight, LLMs may contribute more significantly to personalized KOA management. Systematic review registration https://osf.io/jy4kz, identifier 10.17605/OSF.IO/479R8."
76,C,Epidemic Information Extraction for Event-Based Surveillance Using Large Language Models,"PROCEEDINGS OF NINTH INTERNATIONAL CONGRESS ON INFORMATION AND COMMUNICATION TECHNOLOGY, VOL 1, ICICT 2024",9th International Congress on Information and Communication Technology (ICICT),"This paper presents a novel approach to epidemic surveillance, leveraging the power of artificial intelligence and large language models (LLMs) for effective interpretation of unstructured big data sources like the popular ProMED and WHO Disease Outbreak News. We explore several LLMs, evaluating their capabilities in extracting valuable epidemic information. We further enhance the capabilities of the LLMs using in-context learning and test the performance of an ensemble model incorporating multiple open-source LLMs. The findings indicate that LLMs can significantly enhance the accuracy and timeliness of epidemic modelling and forecasting, offering a promising tool for managing future pandemic events"
77,C,Information Extraction from Legal Wills: How Well Does GPT-4 Do?,FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS - EMNLP 2023,Conference on Empirical Methods in Natural Language Processing (EMNLP),"This work presents a manually annotated dataset for Information Extraction (IE) from legal wills, and relevant in-context learning experiments on the dataset. The dataset consists of entities, binary relations between the entities (e.g., relations between testator and beneficiary), and n-ary events (e.g., bequest) extracted from 45 legal wills from two US states. This dataset can serve as a foundation for downstream tasks in the legal domain. Another use case of this dataset is evaluating the performance of large language models (LLMs) on this IE task. We evaluated GPT-4 with our dataset to investigate its ability to extract information from legal wills. Our evaluation result demonstrates that the model is capable of handling the task reasonably well. When given instructions and examples as a prompt, GPT-4 shows decent performance for both entity extraction and relation extraction tasks. Nevertheless, the evaluation result also reveals that the model is not perfect. We observed inconsistent outputs (given a prompt) as well as prompt over-generalization."
78,C,Prompting Large Language Models for Italian Clinical Reports: A Benchmark Study,PROCEEDINGS OF THE 24TH WORKSHOP ON BIOMEDICAL LANGUAGE PROCESSING,24th Workshop on Biomedical Language Processing-BioNLP,"Large Language Models (LLMs) have significantly impacted medical Natural Language Processing (NLP), enabling automated information extraction from unstructured clinical texts. However, selecting the most suitable approach requires careful evaluation of different model architectures, such as generative LLMs and BERT-based models, along with appropriate adaptation strategies, including prompting techniques, or fine-tuning. Several studies explored different LLM implementations, highlighting their effectiveness in medical domain, including complex diagnostics patterns as for example in rheumatology. However, their application to Italian remains limited, serving as a key example of the broader gap in non-English language research. In this study, we present a task-specific benchmark analysis comparing generative LLMs and BERT-based models, on real-world Italian clinical reports. We evaluated zero-shot prompting, in-context learning (ICL), and fine-tuning across eight diagnostic categories in the rheumatology area. Results show that ICL improves performance over zeroshot-prompting, particularly for Mixtral and Gemma models. Overall, BERT fine-tuning present the highest performance, while ICL outperforms BERT in specific diagnoses, such as renal and systemic, suggesting that prompting can be a potential alternative when labeled data is scarce."
79,C,Improving Knowledge Extraction from LLMs for Task Learning through Agent Analysis,"THIRTY-EIGHTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 38 NO 16",38th AAAI Conference on Artificial Intelligence (AAAI) / 36th Conference on Innovative Applications of Artificial Intelligence / 14th Symposium on Educational Advances in Artificial Intelligence,"Large language models (LLMs) offer significant promise as a knowledge source for task learning. Prompt engineering has been shown to be effective for eliciting knowledge from an LLM, but alone it is insufficient for acquiring relevant, situationally grounded knowledge for an embodied agent learning novel tasks. We describe a cognitive-agent approach, STARS, that extends and complements prompt engineering, mitigating its limitations and thus enabling an agent to acquire new task knowledge matched to its native language capabilities, embodiment, environment, and user preferences. The STARS approach is to increase the response space of LLMs and deploy general strategies, embedded within the autonomous agent, to evaluate, repair, and select among candidate responses produced by the LLM. We describe the approach and experiments that show how an agent, by retrieving and evaluating a breadth of responses from the LLM, can achieve 77- 94% task completion in one-shot learning without user oversight. The approach achieves 100% task completion when human oversight (such as an indication of preference) is provided. Further, the type of oversight largely shifts from explicit, natural language instruction to simple confirmation/discomfirmation of high-quality responses that have been vetted by the agent before presentation to a user."
80,C,Predicting Portfolio Price Crashes in the Vietnamese Stock Market Using Large Language Models and Deep Learning Models with Temporal Relational Reasoning,"2025 17TH INTERNATIONAL CONFERENCE ON KNOWLEDGE AND SYSTEM ENGINEERING, KSE",17th International Conference on Knowledge and System Engineering-KSE,"Predicting stock portfolio crashes in Vietnam is challenging due to dynamic financial news. Large language models (LLMs) offer promise via zero-shot reasoning. This study introduces Temporal Personalized Relational Reasoning (TPRR), an enhanced framework building on Temporal Relational Reasoning (TRR), to model human-like cognitive processes for crash detection. TPRR integrates the Temporal Personalized PageRank (TPP) algorithm for improved graph weighting through temporal decay and personalized prioritization. We also propose a hybrid architecture combining deep learning for entity extraction and sentiment analysis with LLMs for relationship expansion, optimizing efficiency and robustness. Experiments on Vietnamese financial news (Jan 1- Apr 7, 2025) show that TPRR with deep learning achieves an AUROC of 0.781, outperforming baseline TRR (0.738). This work underscores TPRR's potential for complex financial forecasting tasks in Vietnam."
81,J,Comorbidity Classification from Clinical Free-Text using Large Language Models: Application to Sleep Disorder Patients,JOURNAL OF MEDICAL SYSTEMS,,"Patients presenting to neurology clinics commonly have a complex history of comorbidities and partially documented health trajectories, making it essential to reliably extract comorbidity information from historical records. However, existing extraction methods, ranging from rule-based systems to classical machine learning (ML), often have limited accuracy, scalability, or adaptability across diverse documents. We present a large language model (LLM)-based framework for comorbidity extraction from diagnostic texts, capable of handling various prompt formats and textual sources such as patient history, comorbidities, and sleep assessments. The instruction fine-tuned Mistral-24B (Instruct-2501) model achieves 95% macro classification accuracy and 92% F1 score across six common classes of comorbidities, achieving strong performance that is competitive with metrics reported in prior clinical phenotyping and information extraction studies, while complementing recent transformer-based clinical NLP frameworks. The proposed method extracts comorbidities through a transparent hierarchical approach, thereby supporting clinical analysis and providing interpretable insights for disease modeling and personalized treatment planning in sleep medicine."
82,C,ConfigChecker: Automated Network Configuration Validation with Large Language Model and Knowledge Graph,"2025 IEEE/ACM 33RD INTERNATIONAL SYMPOSIUM ON QUALITY OF SERVICE, IWQOS",33rd International Symposium of Quality of Service-IWQOS-Annual,"Network device misconfigurations can lead to security vulnerabilities and operational failures. Existing validation methods primarily rely on program analysis or machine learning, which are often labor-intensive and data-sensitive. While Large Language Models (LLMs) excel in text analysis, their direct application to configuration validation faces challenges such as limited domain knowledge, hallucinations, and non-interpretability. To address these issues, we propose ConfigChecker, an automated network configuration validation system that integrates LLMassisted structured knowledge extraction with knowledge graphbased reasoning. ConfigChecker involves two key phases: (1) Knowledge Graph Construction - We construct three instructiontuning datasets (EV, PG, and RE) to fine-tune LLMs for structured command information extraction, including view transitions, parameter constraints, and inter-command dependencies. The extracted knowledge is stored in a knowledge graph, providing a foundation for configuration validation. (2) Configuration Validation - A graph-based command validator ensures syntax and semantic correctness, while knowledge graph reasoning and indexing mechanism are used to detect inter-command dependency violations. We evaluate six instruction-tuned LLMs for structured knowledge extraction, achieving up to 90% accuracy on the EV and RE datasets. Additionally, our system shows a 9%-20% improvement in validation accuracy compared to three mainstream large models. Furthermore, the average response time per configuration line remains below 15 milliseconds. Results demonstrate that ConfigChecker significantly enhances validation accuracy and efficiency, providing a novel integration of LLMs and knowledge graphs for automated configuration validation."
83,J,Large Language Model-Supported Identification of Intellectual Disabilities in Clinical Free-Text Summaries: Mixed Methods Study,JMIR AI,,"Background: Free-text clinical data are unstructured and narrative in nature, providing a rich source of patient information, but extracting research-quality clinical phenotypes from these data remains a challenge. Manually reviewing and extracting clinical phenotypes from free-text patient notes is a time-consuming process and not suitable for large-scale datasets. On the other hand, automatically extracting clinical phenotypes can be challenging because medical researchers lack gold-standard annotated references and other purpose-built resources, including software. Recent large language models (LLMs) can understand natural language instructions, which help them adapt to different domains and tasks without the need for specific training data. This makes them suitable for clinical applications, though their use in this field is limited. Objective: We aimed to develop an LLM pipeline based on the few-shot learning framework that could extract clinical information from free-text clinical summaries. We assessed the performance of this pipeline for classifying individuals with confirmed or suspected comorbid intellectual disability (ID) from clinical summaries of patients with severe mental illness and performed genetic validation of the results by testing whether individuals with LLM-defined ID carried more genetic variants known to confer risk of ID when compared with individuals without LLM-defined ID. Methods: We developed novel approaches for performing classification, based on an intermediate information extraction (IE) step and human-in-the-loop techniques. We evaluated two models: Fine-Tuned Language Text-To-Text Transfer Transformer (Flan-T5) and Large Language Model Architecture (LLaMA). The dataset comprised 1144 free-text clinical summaries, of which 314 were manually annotated and used as a gold standard for evaluating automated methods. We also used published genetic data from 547 individuals to perform a genetic validation of the classification results; Firth's penalized logistic regression framework was used to test whether individuals with LLM-defined ID carry significantly more de novo variants in known developmental disorder risk genes than individuals without LLM-defined ID. Results: The results demonstrate that a 2-stage approach, combining IE with manual validation, can effectively identify individuals with suspected IDs from free-text patient records, requiring only a single training example per classification label. The best-performing method based on the Flan-T5 model and incorporating the IE step achieved an F1-score of 0.867. Individuals classified as having ID by the best performing model were significantly enriched for de novo variants in known developmental disorder risk genes (odds ratio 29.1, 95% CI 7.36-107; P=2.1x10-5). Conclusions: LLMs and in-context learning techniques combined with human-in-the-loop approaches can be highly beneficial for extraction and categorization of information from free-text clinical data. In this proof-of-concept study, we show that LLMs can be used to identify individuals with a severe mental illness who also have suspected ID, which is a biologically and clinically meaningful subgroup of patients."
